Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes,production_budget
Do the Right Thing,R,1989,27.55,"['Comedy', ' Drama']",120,7.9,84646.0,6.0
Doctor Zhivago,PG-13,1965,111.72,"['Drama', ' Romance', ' War']",197,8.0,67843.0,11.0
Donnie Brasco,R,1997,41.91,"['Biography', ' Crime', ' Drama']",127,7.7,269416.0,35.0
Donnie Darko,R,2001,1.48,"['Drama', ' Mystery', ' Sci-Fi']",113,8.0,725165.0,4.5
Down by Law,R,1986,1.44,"['Comedy', ' Crime', ' Drama']",107,7.8,46521.0,1.1
Drive,R,2011,35.06,"['Crime', ' Drama']",100,7.8,554919.0,15.0
Dunkirk,PG-13,2017,188.37,"['Action', ' Drama', ' History']",106,7.9,523637.0,150.0
Eastern Promises,R,2007,17.11,"['Action', ' Crime', ' Drama']",100,7.6,222837.0,50.0
Ed Wood,R,1994,5.89,"['Biography', ' Comedy', ' Drama']",127,7.8,162417.0,18.0
Edge of Tomorrow,PG-13,2014,100.21,"['Action', ' Adventure', ' Sci-Fi']",113,7.9,582307.0,178.0
Edward Scissorhands,PG-13,1990,56.36,"['Drama', ' Fantasy', ' Romance']",105,7.9,435078.0,20.0
End of Watch,R,2012,41.0,"['Action', ' Crime', ' Drama']",109,7.6,223153.0,15.0
Enemy at the Gates,R,2001,51.4,"['Drama', ' History', ' War']",131,7.6,236826.0,85.0
Escape from Alcatraz,PG,1979,43.0,"['Biography', ' Crime', ' Drama']",112,7.6,115020.0,8.0
Eternal Sunshine of the Spotless Mind,R,2004,34.4,"['Drama', ' Romance', ' Sci-Fi']",108,8.3,883021.0,20.0
Evil Dead II,R,1987,5.92,"['Comedy', ' Horror']",84,7.8,143837.0,3.5
Ex Machina,R,2014,25.44,"['Drama', ' Mystery', ' Sci-Fi']",108,7.7,458542.0,13.0
Fantasia,G,1940,76.41,"['Animation', ' Family', ' Fantasy']",125,7.8,86282.0,2.28
Fantastic Mr. Fox,PG,2009,21.0,"['Animation', ' Adventure', ' Comedy']",87,7.9,191254.0,40.0
Fargo,R,1996,24.61,"['Crime', ' Drama', ' Thriller']",98,8.1,596947.0,7.0
Fear and Loathing in Las Vegas,R,1998,10.68,"['Adventure', ' Comedy', ' Drama']",118,7.6,253375.0,18.5
Fiddler on the Roof,G,1971,80.5,"['Drama', ' Family', ' Musical']",181,8.0,37896.0,9.0
Fight Club,R,1999,37.03,['Drama'],139,8.8,1795475.0,65.0
Finding Nemo,G,2003,380.84,"['Animation', ' Adventure', ' Comedy']",100,8.1,922564.0,94.0
Finding Neverland,PG,2004,51.68,"['Biography', ' Drama', ' Family']",106,7.7,195698.0,25.0
First Blood,R,1982,47.21,"['Action', ' Adventure']",93,7.7,219894.0,14.0
Flipped,PG,2010,1.75,"['Comedy', ' Drama', ' Romance']",90,7.7,79163.0,14.0
Forrest Gump,PG-13,1994,330.25,"['Drama', ' Romance']",142,8.8,1742236.0,55.0
Fried Green Tomatoes,PG-13,1991,82.42,['Drama'],130,7.7,64971.0,11.0
