Title,Movie Rating,Year,Gross Income,Movie Genre,Movie Runtime,IMDb Rating,Votes
The Adventures of Robin Hood,PG,1938,3.98,"['Action', ' Adventure', ' Romance']",102,7.9,45986.0
The African Queen,PG,1951,0.54,"['Adventure', ' Drama', ' Romance']",105,7.7,69785.0
The Artist,PG-13,2011,44.67,"['Comedy', ' Drama', ' Romance']",100,7.9,226263.0
The Avengers,PG-13,2012,623.28,"['Action', ' Adventure', ' Sci-Fi']",143,8.0,1236488.0
The Big Lebowski,R,1998,17.5,"['Comedy', ' Crime', ' Sport']",117,8.1,706655.0
The Big Short,R,2015,70.26,"['Biography', ' Comedy', ' Drama']",130,7.8,345017.0
The Birds,PG-13,1963,11.4,"['Drama', ' Horror', ' Mystery']",119,7.7,165864.0
The Blind Side,PG-13,2009,255.96,"['Biography', ' Drama', ' Sport']",129,7.6,283944.0
The Blues Brothers,R,1980,57.23,"['Adventure', ' Comedy', ' Crime']",133,7.9,177386.0
The Boondock Saints,R,1999,0.03,"['Action', ' Crime', ' Thriller']",108,7.8,223917.0
The Bourne Identity,PG-13,2002,121.66,"['Action', ' Mystery', ' Thriller']",119,7.9,496399.0
The Bourne Supremacy,PG-13,2004,176.24,"['Action', ' Mystery', ' Thriller']",108,7.7,425046.0
The Bourne Ultimatum,PG-13,2007,227.47,"['Action', ' Mystery', ' Thriller']",115,8.0,595599.0
The Boy in the Striped Pajamas,PG-13,2008,9.03,"['Drama', ' War']",94,7.8,184588.0
The Breakfast Club,R,1985,45.88,"['Comedy', ' Drama']",97,7.9,344870.0
The Bridge on the River Kwai,PG,1957,44.91,"['Adventure', ' Drama', ' War']",161,8.1,197381.0
