Title,Movie Rating,Year,Gross Income in millions (USD),Movie Genre,Movie Runtime,IMDb Rating,Votes,Budget in millions (USD),Profit percent
American Ultra,R,2015,14.43,"Action,Comedy",96,6.1,82282.0,28.0,-48.464285714285715
American Wedding,R,2003,104.57,Comedy,96,6.3,190787.0,55.0,90.12727272727271
Amigo,R,2010,0.18,"Drama,War",124,5.8,540.0,1.5,-88.0
Amistad,R,1997,44.18,"Biography,Drama,History",155,7.3,69422.0,40.0,10.45
An American Carol,PG-13,2008,7.0,"Comedy,Fantasy",83,4.1,9304.0,20.0,-65.0
An American Haunting,PG-13,2005,16.3,"Drama,History,Horror",83,5.1,24389.0,14.0,16.428571428571434
An American in Hollywood,R,2014,22.810000000000002,Drama,89,7.0,48903.0,0.125,-100.0
An Education,PG-13,2009,12.57,Drama,100,7.3,126374.0,7.5,67.60000000000001
An Everlasting Piece,R,2000,0.08,Comedy,103,6.3,1579.0,4.0,-98.0
An Ideal Husband,PG-13,1999,18.54,"Comedy,Romance",97,6.8,14955.0,10.7,73.27102803738318
An Inconvenient Truth,PG,2006,23.81,"Documentary,News",96,7.4,79539.0,1.0,2281.0
An Unfinished Life,PG-13,2005,8.59,"Drama,Family,Romance",108,7.0,28443.0,30.0,-71.36666666666667
Anaconda,PG-13,1997,65.89,"Action,Adventure,Horror",89,4.8,93199.0,45.0,46.422222222222224
Anacondas: The Hunt for the Blood Orchid,PG-13,2004,32.24,"Action,Adventure,Horror",97,4.7,28257.0,25.0,28.960000000000008
Analyze That,R,2002,32.12,"Comedy,Crime",96,5.9,81084.0,60.0,-46.466666666666676
Analyze This,R,1999,106.89,"Comedy,Crime",103,6.7,143350.0,30.0,256.3
Anastasia,G,1997,58.41,"Animation,Adventure,Drama",94,7.2,108714.0,53.0,10.207547169811313
Anastasia,G,1997,22.810000000000002,"Animation,Family",48,5.5,48903.0,53.0,-100.0
Anchorman 2: The Legend Continues,PG-13,2013,127.35,Comedy,119,6.3,164876.0,50.0,154.7
Anchorman: The Legend of Ron Burgundy,PG-13,2004,85.29,Comedy,94,7.2,323134.0,25.0,241.16000000000005
And So It Goes,PG-13,2014,15.16,"Comedy,Drama,Romance",94,5.8,12435.0,18.0,-15.777777777777777
Anderson's Cross,R,2010,22.810000000000002,"Comedy,Drama,Romance",98,5.1,48903.0,0.3,-100.0
Angel Eyes,R,1993,22.810000000000002,"Crime,Drama,Thriller",84,4.2,48903.0,38.0,-100.0
Angel Eyes,R,2001,24.04,"Drama,Romance",102,5.6,22135.0,38.0,-36.736842105263165
Angela's Ashes,R,1999,13.04,Drama,145,7.3,19854.0,25.0,-47.84
Angels & Demons,PG-13,2009,133.38,"Action,Mystery,Thriller",138,6.7,266614.0,150.0,-11.080000000000002
Anger Management,PG-13,2003,135.65,Comedy,106,6.3,199747.0,56.0,142.23214285714286
Anna,R,2013,22.810000000000002,"Drama,Mystery,Sci-Fi",99,6.5,20997.0,4.357373,-100.0
Anna,R,2019,7.74,"Action,Thriller",118,6.6,52889.0,4.357373,77.62996190594656
Anna Karenina,PG-13,1997,0.79,"Drama,Romance",108,6.4,5408.0,49.0,-98.38775510204081
Anna and the King,PG-13,1999,39.26,"Drama,History,Romance",148,6.7,35171.0,75.0,-47.653333333333336
Annabelle,R,2014,84.27,"Horror,Mystery,Thriller",99,5.4,136025.0,6.5,1196.4615384615383
Annabelle: Creation,R,2017,102.09,"Horror,Mystery,Thriller",109,6.5,106981.0,15.0,580.6
Annie,PG,2014,85.91,"Comedy,Drama,Family",118,5.3,33194.0,65.0,32.169230769230765
Anomalisa,R,2015,3.76,"Animation,Comedy,Drama",90,7.3,63042.0,8.0,-53.0
Anonymous,PG-13,2011,4.46,"Drama,Thriller",130,6.9,38852.0,27.5,-83.78181818181818
Another Earth,PG-13,2011,1.32,"Drama,Romance,Sci-Fi",92,7.0,89271.0,0.175,654.2857142857143
Another Happy Day,R,2011,22.810000000000002,"Comedy,Drama",119,6.1,48903.0,4.0,-100.0
Another Year,PG-13,2010,3.21,"Comedy,Drama",129,7.3,27270.0,8.0,-59.875
Ant-Man,PG-13,2015,180.2,"Action,Adventure,Comedy",117,7.3,549839.0,130.0,38.615384615384606
Ant-Man and the Wasp,PG-13,2018,216.65,"Action,Adventure,Comedy",118,7.1,291567.0,130.0,66.65384615384616
Antitrust,PG-13,2001,10.97,"Action,Crime,Drama",108,6.1,28090.0,30.0,-63.433333333333344
Antwone Fisher,PG-13,2002,21.08,"Biography,Drama",120,7.3,32167.0,12.5,68.63999999999999
Antz,PG,1998,90.76,"Animation,Adventure,Comedy",83,6.5,143944.0,60.0,51.26666666666667
Any Given Sunday,R,1999,75.53,"Drama,Sport",162,6.9,110242.0,60.0,25.883333333333336
Anything Else,R,2003,3.2,"Comedy,Romance",108,6.3,29224.0,18.0,-82.22222222222223
Anywhere But Here,PG-13,1999,18.65,"Comedy,Drama",114,6.2,16617.0,23.0,-18.913043478260878
